path,p,m,spAveCard,method,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5,spSize,aveWidth,points_hypercube,pctSup,pctExt,spPctExt1,spPctExt2,spPctExt3,spPctExt4,spPctExt5,spAvePctExt,ubCard
alg1-prob-2-100|100|100-lll-3_4.json,2,3,100,l,3092,255,243,2837,8,19,29105,29439,29097,29420,0.4638,100,100,79,88,78,88,21,12,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29258.5,856092258,0.08247089262613196,0.07858990944372575,0.78,0.88,0.83,NA,NA,0.83,1000000
alg1-prob-2-100|100|100-lll-3_5.json,2,3,100,l,3124,249,239,2875,2,19,29158,29689,29156,29670,0.4806,100,100,80,79,79,78,20,21,100,88,88,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29413,865117347,0.07970550576184379,0.0765044814340589,0.79,0.78,0.88,NA,NA,0.8166666666666667,1000000
alg1-prob-2-100|100|100-mmm-3_1.json,2,3,100,m,1845,32,30,1813,8,8,26703,27064,26695,27056,0.3889,100,100,11,12,11,12,89,88,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,26875.5,722313672,0.017344173441734417,0.016260162601626018,0.11,0.12,0.1,NA,NA,0.11,1000000
alg1-prob-2-100|100|100-mmm-3_2.json,2,3,100,m,2340,23,23,2317,20,15,25312,26077,25292,26062,0.4031,100,100,11,7,11,7,89,93,100,7,7,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,25677,659211459,0.009829059829059829,0.009829059829059829,0.11,0.07,0.07,NA,NA,0.08333333333333334,1000000
alg1-prob-2-100|100|100-mmm-3_3.json,2,3,100,m,1815,31,31,1784,10,4,26681,27485,26671,27481,0.3708,100,100,11,12,11,12,89,88,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,27076,732999904,0.017079889807162536,0.017079889807162536,0.11,0.12,0.1,NA,NA,0.11,1000000
alg1-prob-2-100|100|100-mmm-3_4.json,2,3,100,m,1925,29,27,1896,22,7,25808,26661,25786,26654,0.3626,100,100,11,7,11,7,89,93,100,12,12,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,26220,687352485,0.015064935064935066,0.014025974025974027,0.11,0.07,0.12,NA,NA,0.1,1000000
alg1-prob-2-100|100|100-mmm-3_5.json,2,3,100,m,1923,26,26,1897,6,20,27283,28239,27277,28219,0.3862,100,100,8,10,8,10,92,90,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,27748,769785160,0.013520540821632865,0.013520540821632865,0.08,0.1,0.1,NA,NA,0.09333333333333334,1000000
alg1-prob-2-100|100|100-ull-3_1.json,2,3,100,ul,1426,169,162,1257,48,124,29819,29534,29771,29410,0.1813,100,100,83,86,79,83,17,14,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29590.5,875624292,0.1185133239831697,0.11360448807854137,0.79,0.83,0.02,NA,NA,0.5466666666666666,1000000
alg1-prob-2-100|100|100-ull-3_2.json,2,3,100,ul,1343,174,171,1169,30,61,29409,29598,29379,29537,0.1517,100,100,88,86,88,83,12,14,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29458,867826440,0.12956068503350707,0.12732688011913626,0.88,0.83,0.02,NA,NA,0.5766666666666667,1000000
alg1-prob-2-100|100|100-ull-3_3.json,2,3,100,ul,1327,171,165,1156,131,15,29745,29691,29614,29676,0.1544,100,100,86,83,84,83,14,17,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29645,878884355,0.12886209495101733,0.12434061793519216,0.84,0.83,0.02,NA,NA,0.5633333333333334,1000000
alg1-prob-2-100|100|100-ull-3_4.json,2,3,100,ul,1329,171,171,1158,118,33,29282,29678,29164,29645,0.1884,100,100,88,83,88,83,12,17,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29404.5,864625590,0.12866817155756208,0.12866817155756208,0.88,0.83,0.02,NA,NA,0.5766666666666667,1000000
alg1-prob-2-100|100|100-ull-3_5.json,2,3,100,ul,1439,176,170,1263,73,165,29400,29983,29327,29818,0.1642,100,100,86,88,84,88,14,12,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29572.5,874531632,0.12230715774843641,0.11813759555246699,0.84,0.88,0.02,NA,NA,0.58,1000000
alg1-prob-2-100|100|100-uuu-3_1.json,2,3,100,u,738,4,4,734,195,613,29992,30000,29797,29387,0.2016,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29592,875703624,0.005420054200542005,0.005420054200542005,0.02,0.02,0.02,NA,NA,0.02,1000000
alg1-prob-2-100|100|100-uuu-3_2.json,2,3,100,u,751,4,4,747,445,261,29999,29995,29554,29734,0.2363,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29644,878817925,0.005326231691078562,0.005326231691078562,0.02,0.02,0.02,NA,NA,0.02,1000000
